dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB0::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x000001BA5D4EEE40>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",800,10,360,5,17.13,50,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745269312.7654746,False

angle,field,X,Y
0,800,-0.00148893,-0.000532035
10,800,-0.00148941,-0.000536207
20,800,-0.00149132,-0.000532273
30,800,-0.00149048,-0.000528578
40,800,-0.00148977,-0.000540379
50,800,-0.00149716,-0.000532154
60,800,-0.00149215,-0.0005312
70,800,-0.00150073,-0.000538591
80,800,-0.001503,-0.000538711
90,800,-0.00149978,-0.000541333
100,800,-0.00149668,-0.000536684
110,800,-0.00150085,-0.000534777
120,800,-0.00149406,-0.000536684
130,800,-0.00149596,-0.000534061
140,800,-0.00150085,-0.000535492
150,800,-0.00149775,-0.00053132
160,800,-0.00149763,-0.000535015
170,800,-0.00149573,-0.000534538
180,800,-0.00149036,-0.000536207
190,800,-0.00149,-0.000531081
200,800,-0.00148822,-0.000532869
210,800,-0.00149334,-0.000533942
220,800,-0.00149346,-0.000533346
230,800,-0.00148738,-0.000537518
240,800,-0.00149573,-0.000533942
250,800,-0.00148845,-0.000535134
260,800,-0.00149084,-0.000537757
270,800,-0.00149835,-0.000533942
280,800,-0.00150181,-0.000540022
290,800,-0.00149883,-0.00053275
300,800,-0.00150324,-0.000540499
310,800,-0.00150288,-0.000539307
320,800,-0.00149549,-0.000539545
330,800,-0.00149322,-0.000537518
340,800,-0.00149132,-0.000537518
350,800,-0.00149239,-0.000533942
360,800,-0.00149561,-0.000535134
